Form,Type,Mentions,Entity,Metadata
Abbas beati Martini,PER,1,Abbas beati Martini,Title: Notre Dame de Paris
Abbé Claude Choart,PER,1,Claude Choart,Annotator: Arthur Amalvy
abbé de Saint-Bertin,PER,1,Jehan of Saint-Bertin,Guidelines: v1.0.0
Abraham,PER,2,Abraham,Updated: 2024/12/22
Achaïe,LOC,2,?,
Adam,PER,1,Adam,Comment:
Adam Tenon,PER,1,Adam Tenon,
Admétès,PER,1,Admétès,
Aduine,PER,1,belette Aduine,
Æsopus,PER,1,Aesopus,
Afrique,LOC,1,?,
Agnès,PER,14,Agnès la Herme,
Agnès de Bourgogne,PER,1,Agnès de Bourgogne,
Agnès la Gadine,PER,1,Agnès la Gadine,
Agnès la Herme,PER,2,Agnès la Herme,
Aiglet de Soins,PER,1,Aiglet de Soins,
Ajax,PER,1,Ajax,
Alaudet,PER,1,Monsieur Alaudet,
Alexandre,PER,3,Alexandre III de Macédoine,
Alger,LOC,2,?,
Allemagne,LOC,2,?,
allemands,MISC,1,?,
Amanyon de Garlande,PER,1,Amanyon de Garlande,
Amboise,LOC,1,?,
Ambroise Lécuyère,PER,1,Ambroise Lécuyère,
Amelotte,PER,3,Amelotte de Montmichel,
Amelotte de Montmichel,PER,3,Amelotte de Montmichel,
Amiens,LOC,1,?,
Anaxagoras,PER,1,Anaxagoras,
Andry le Rouge,PER,5,Andry le Rouge,
Andry-le-Rouge,PER,1,Andry le Rouge,
Angleterre,LOC,4,?,
Antonius Koburger,PER,1,Antonius Koburger,
Apollo,PER,2,Apollo,
archidiacre,PER,8,Claude Frollo,
archidiacre de Josas,PER,1,Claude Frollo,
Ariane,MISC,1,?,
Aristoteles,PER,4,Aristote,
Arménie,LOC,2,?,
Arras,LOC,2,?,
Arricidie,PER,1,Madame Pilou,
Ascanio Falzaspada,PER,1,Ascanio Falzapada,
Astolphe,PER,1,Astolphe,
Athènes,LOC,1,?,
au bénitier de Notre-Dame,LOC,1,?,
au capitaine,PER,2,Phœbus de Châteaupers,
au charnier des Innocents,LOC,1,?,
au Châtelet,LOC,6,?,
au Châtelet de Paris,LOC,1,?,
au Colisée,LOC,1,?,
au collège de Torchi,LOC,1,?,
au compère Tourangeau,PER,2,compère Tourangeau,
au cordelier Calatagirone,PER,1,frère Calatagirone,
au fief du Moulin,LOC,1,?,
au For-l ' Évêque,LOC,1,?,
au gouverneur du Roussillon,PER,1,Gouverneur du Roussillon,
au Grand-Châtelet,LOC,2,?,
au jardin du Louvre,LOC,1,?,
au logis Clichon,LOC,1,?,
au logis d ' Angoulême,LOC,1,?,
au logis Gondelaurier,LOC,1,?,
au Louvre,LOC,2,?,
au Marché-aux-Draps,LOC,1,?,
au Marché-aux-Pourceaux,LOC,1,?,
au nouveau Paris,LOC,1,?,
au Palais de Justice,LOC,3,?,
au Palais de Justice de Paris,LOC,1,?,
au palais de la Bourse,LOC,1,?,
au palais des Tournelles,LOC,1,?,
au Panthéon,LOC,1,?,
au Parloir-aux-Bourgeois,LOC,1,?,
au Parthénon,LOC,2,?,
au père Pacifique,PER,1,Pacifique de Provins,
au Petit-Bourbon,LOC,2,?,
Au Petit-Bourbon,LOC,2,?,
au pont de Charenton,LOC,1,?,
au pont de Mantes,LOC,1,?,
au Pont Saint-Michel,LOC,1,?,
au Pont-aux-Changeurs,LOC,1,?,
au prêtre,PER,5,Claude Frollo,
au prévôt de Paris,PER,1,Robert d’Estouteville,
au roi Édouard,PER,1,Edouard II d’Angleterre,
au roi Pharamond,PER,1,Roi Pharamond,
au seuil de Notre-Dame,LOC,1,?,
au Trou aux rats,LOC,1,?,
au Val-d ' Amour,LOC,1,?,
