Form,Type,Mentions,Entity,Metadata
abbé Castanède,PER,1,Abbé Castanède,Title: Le Rouge et le Noir
abbé Chas-Bernard,PER,1,Abbé Chas-Bernard,Annotator: Arthur Amalvy
abbé Chélan,PER,1,Abbé Chélan,Guidelines: v1.0.0
abbé de Frilair,PER,1,Abbé Frilair,Updated: 2024/12/21
abbé Julien Sorel,PER,1,Julien Sorel,Comment: 
abbé Marquinot de Dijon,PER,1,Abbé Marquinot,
abbé Maslon,PER,2,Abbé Maslon,
abbé Pirard,PER,6,Abbé Pirard,
abbé Sorel,PER,1,Julien Sorel,
abbés Castanède,PER,1,Abbé Castanède,
abbesse de Chelles,PER,1,Abbesse de Chelles,
Abeilard,PER,1,Pierre Abeilard,
Adolphe,PER,4,Adolphe de Rênal,
Afrique,LOC,1,?,
Agde,LOC,4,?,
Agen,LOC,1,?,
Alger,LOC,1,?,
Alhambra de Grenade,LOC,1,?,
Altamira,PER,27,Comte Altamira,
Amanda,PER,15,Amanda Binet,
Amanda Binet,PER,5,Amanda Binet,
ambassadeur de * * *,PER,1,Prince d’Araceli,
Amérique,LOC,2,?,
Anglaise,MISC,1,?,
Angleterre,LOC,12,?,
Annibal,PER,2,Norbert de la Mole,
Annibal de Coconasso,PER,1,Annibal de Coconasso,
Antibes,LOC,1,?,
Arcole,LOC,2,?,
Arnauld,PER,1,Antoine Arnauld,
Arsène,PER,4,Arsène,
au baron de Tolly,PER,1,Baron de Tolly,
au café Tortoni,LOC,1,?,
au Casino,LOC,2,?,
au château d ' Aiguillon,LOC,1,?,
Au cimetière du Père-Lachaise,LOC,1,?,
au COURS DE LA FIDÉLITÉ,LOC,1,?,
au Cours de la Fidélité,LOC,2,?,
au couvent du Sacré-Coeur,LOC,1,?,
au curé Chélan,PER,1,Abbé Chélan,
au Doubs,LOC,1,?,
au fils Sorel,PER,1,Julien Sorel,
au Ministère de la guerre,ORG,1,?,
au Ministère de la justice,ORG,1,?,
au ministère des Finances,ORG,1,?,
au père Sorel,PER,1,père Sorel,
au petit théâtre de San-Carlino,LOC,1,?,
au Sacré-Coeur,LOC,1,?,
au Sacré-Coeur de Besançon,LOC,1,?,
au Valenod,PER,1,Baron de Valenod,
au vieux Sorel,PER,2,père Sorel,
