Form,Type,Mentions,Entity,Metadata
À la belle vue,LOC,1,?,Annotator: Arthur Amalvy
À la Belle-Vue,LOC,1,?,Guidelines: v1.0.0
Afrique,LOC,10,?,Updated: 2024/12/20
Alexandre,PER,3,Alexandre Duroy,Comment: 
Alger,LOC,4,?,
Antibes,LOC,1,?,
Argenteuil,LOC,1,?,
Asnières,LOC,2,?,
au Bois,LOC,3,?,
au bois du Vésinet,LOC,1,?,
au bouillon Duval,LOC,1,?,
au boulevard Poissonnière,LOC,1,?,
au café Anglais,LOC,1,?,
au café Riche,LOC,1,?,
au Clergé,ORG,1,?,
au Continental,LOC,1,?,
au golfe Juan,LOC,3,?,
au Louvre,LOC,1,?,
au Luxembourg,LOC,1,?,
au manège Pellerin,LOC,1,?,
au Maroc,LOC,2,?,
au marquis de Cazolles,PER,1,Marquis de Cazolles,
au marquis de Latour-Yvelin,PER,1,Marquis de Latour-Yvelin,
au Napolitain,LOC,1,?,
au Nord,ORG,1,?,
au parc Monceau,LOC,3,?,
au patron,PER,1,Monsieur Walter,
au pavillon Henri-IV,LOC,1,?,
au Pecq,LOC,1,?,
au père Walter,PER,2,Monsieur Walter,
au pôle Nord,LOC,1,?,
au pont de la Concorde,LOC,1,?,
au portique du Palais-Bourbon,LOC,1,?,
au restaurant du Coq-Faisan,LOC,1,?,
aux Batignolles,LOC,1,?,
aux Folies-Bergère,LOC,5,?,
aux Forestier,PER,1,Famille Forestier,
aux halles,LOC,1,?,
aux Italiens,LOC,1,?,
aux Magistrats,ORG,1,?,
aux Walter,PER,1,Famille Walter,
Balzac,PER,3,Honoré de Balzac,
Baron de Tanquelet,PER,1,Baron de Tanquelet,
Basile-Ravalau,PER,1,Monsieur Basile-Ravalau,
Bastien-Lepage,PER,1,Jules Bastien-Lepage,
Bazaine,PER,1,François Achille Bazaine,
Bel-Ami,PER,47,George Duroy,
Bibi,PER,1,Clotilde de Marelle,
Bleus,ORG,1,?,
Boisrenard,PER,18,Monsieur Boisrenard,
