Form,Type,Mentions,Entity,Metadata
' Artagnan,PER,8,"Charles de Batz de Castelmore, dit d'Artagnan",Title: Les Trois Mousquetaires
* * * * *,LOC,1,?,
Achille,PER,1,Achille,Annotateur: Arthur Amalvy
adame Bonacieux,PER,1,Constance Bonacieux,Guidelines: v1.0.0
Allemand,MISC,1,?,
Altissimâ,PER,1,"René d'Herblay, dit Aramis",Updated: 2024/07/22
Amiens,LOC,13,?,
Angers,LOC,1,?,
Anglais,MISC,5,?,
Anglaise,MISC,4,?,
Angleterre,LOC,38,?,
Angleterre,PER,1,Angleterre,"Comment: “son Éminence”, “Votre Éminence” and some other forms are ambiguous (Louis XIII or Richelieu)"
Angoutin,LOC,1,?,
Anjou,LOC,5,?,
Anne,PER,4,Anne d’Autriche,
ANNE,PER,1,Anne d’Autriche,
Anne d ' Autriche,PER,43,Anne d’Autriche,
Anne de Breuil,PER,3,Anne de Breuil,
Aramis,PER,511,"René d'Herblay, dit Aramis",
Archimède,PER,2,Archimède,
Argentières,LOC,1,?,
Armand-Jean Duplessis,PER,1,"Armand Jean du Plessis, duc de Richelieu",
Armentières,LOC,11,?,
Armentières,PER,1,Armentières,
Arras,LOC,4,?,
Artagnan,PER,1,"Charles de Batz de Castelmore, dit d'Artagnan",
Astarté,PER,1,Astarté,
Athos,PER,939,"Olivier de La Fère, dit Athos",
au bastion Saint-Gervais,LOC,1,?,
au Béarnais,MISC,1,?,
au cabaret de la Pomme-du-Pin,LOC,2,?,
au cardinal,PER,31,"Armand Jean du Plessis, duc de Richelieu",
au Châtelet,LOC,1,?,
au cloître Saint-Magloire,LOC,2,?,
au Colombier-Rouge,LOC,2,?,
au comte de Rochefort,PER,1,Comte de Rochefort,
au comte de Wardes,PER,2,Comte de Wardes,
au couvent de Béthune,LOC,1,?,
au couvent des bénédictines de Templemar,LOC,1,?,
au couvent des carmélites de Béthune,LOC,1,?,
au couvent des Carmélites de Béthune,LOC,1,?,
au duc d ' Angoulême,PER,1,"Charles de Valois, duc d'Angoulême",
au duc de Buckingham,PER,2,"George Villiers, duc de Buckingham",
au duc Rouge,PER,1,"Armand Jean du Plessis, duc de Richelieu",
au faubourg Saint-Antoine,LOC,1,?,
au fort de la Pointe,LOC,4,?,
au fort Louis,LOC,1,?,
au fort Neuf,LOC,1,?,
au Fort-l ' Évêque,LOC,6,?,
au Gascon,MISC,1,?,
au guichet de l ' Échelle,LOC,1,?,
au guichet du Louvre,LOC,1,?,
au jésuite,MISC,1,?,
au Louvre,LOC,43,?,
Au Louvre,LOC,2,?,
au Luxembourg,LOC,2,?,
au Mexique,LOC,1,?,
au midi,LOC,1,?,
au milieu de la Lys,LOC,1,?,
au palais Cardinal,LOC,2,?,
au Palais-Royal,LOC,1,?,
au Parpaillot,LOC,3,?,
au pont de la Pierre,LOC,1,?,
au roi,PER,15,Louis XIII de France,
au roi d ' Espagne,PER,1,Philippe IV d’Espagne,
au Roi des rois,PER,1,Louis XIII de France,
au Seigneur,PER,3,Dieu,
au village de Festubert,LOC,1,?,
Auvergne,LOC,1,?,
aux anglais,MISC,1,?,
aux Anglais,MISC,1,?,
aux Carmes-Deschaux,LOC,1,?,
aux eaux de Forges,LOC,3,?,
Aux eaux de Forges,LOC,1,?,
aux jésuites d ' Amiens,ORG,1,?,
aux Minimes,LOC,2,?,
aux protestants,MISC,1,?,
aux Provinces-Unies,LOC,1,?,
aux Rochelois,MISC,2,?,
Aymon,PER,1,Aymon,
Baal,PER,1,Baal,
baie de Chichester,LOC,1,?,
baron de Sheffield,PER,1,Baron de Sheffield,
baronne de Sheffield,PER,1,Baronne de Sheffield,
Bassompierre,PER,10,François de Bassompierre,
Bastille,LOC,1,?,
Bayonne,LOC,1,?,
Bazin,PER,65,Monsieur Bazin,
Béarn,LOC,1,?,
Béarn,MISC,1,?,
Béarnais,MISC,3,?,
Beaugency,LOC,2,?,
Beauvais,LOC,2,?,
Belgique,LOC,2,?,
Bélial,PER,1,Bélial,
Bernajoux,PER,16,Monsieur Bernajoux,
Béthulie,LOC,1,?,
Béthune,LOC,13,?,
Biscarat,PER,15,Jacques de Rotondis de Biscarat,
Blangy,LOC,2,?,
Bohême,LOC,1,?,
Bois-Robert,PER,1,"François le Metel, sieur de Boisrobert",
Bois-Tracy,PER,2,Camille de Bois-Tracy,
Boisrenard,PER,1,Monsieur Boisrenard,
Bonacieux,PER,88,Jacques Michel Bonacieux,
Bondy,LOC,1,?,
Boniface,PER,1,Boniface,
Bordeaux,LOC,2,?,
Botany-Bay,LOC,1,?,
Boulogne,LOC,11,?,
Bourgogne,LOC,1,?,
Brest,LOC,2,?,
Bretagne,LOC,1,?,
Brisemont,LOC,1,?,
Brisemont,PER,6,Brisemont,
Brutus,PER,1,Marcus Junius Brutus,
Bruxelles,LOC,3,?,
Buckingham,PER,128,"George Villiers, duc de Buckingham",
Buckingham-Palace,LOC,1,?,
C. B.,PER,2,Constance Bonacieux,
Cahusac,PER,14,"Jean de Baradat, sieur de Cahusac",
Calais,LOC,5,?,
Camille de Bois-Tracy,PER,1,Camille de Bois-Tracy,
cardinal,PER,8,"Armand Jean du Plessis, duc de Richelieu",
Cardinal,PER,1,"Armand Jean du Plessis, duc de Richelieu",
cardinal de Richelieu,PER,1,"Armand Jean du Plessis, duc de Richelieu",
Castres,LOC,1,?,
Cavois,PER,1,"Armand Jean du Plessis, duc de Richelieu",
ce Béarnais,MISC,1,?,
Ce d ' Artagnan,PER,1,"Charles de Batz de Castelmore, dit d'Artagnan",
ce d ' Artagnan,PER,1,"Charles de Batz de Castelmore, dit d'Artagnan",
ce Dieu,PER,2,Dieu,
Ce Grimaud,PER,1,Monsieur Grimaud,
ce Paradis terrestre,MISC,1,?,
Cervantes,PER,1,Miguel de Cervantes,
ces Anglais,MISC,1,?,
ces Gascons,MISC,1,?,
César,PER,1,Gaius Julius Caesar,
Césars,PER,1,Gaius Julius Caesar,
cet Anglais,MISC,1,?,
Cet Espagnol,MISC,1,?,
cet Holopherne,PER,1,Général Holopherne,
cette Bastille,LOC,1,?,
cette milady,PER,1,Anne de Breuil,
Cette milady,PER,1,Anne de Breuil,
Chaillot,LOC,4,?,
Chalais,PER,5,"Henri de Talleyrand, marquis de Chalais",
Champagne,LOC,4,?,
Chantilly,LOC,9,?,
Charlemagne,PER,2,Charlemagne,
Charles Ier,PER,4,Charles I d’Angleterre,
Charlotte Backson,PER,5,Anne de Breuil,
Chasse-Midi,LOC,1,?,
Châtelleraut,LOC,1,?,
chère Constance,PER,1,Constance Bonacieux,
Claude de Saint-Simon,PER,1,Claude de Saint-Simon,
Clément,PER,1,Guillaume Clément,
Clermont,LOC,1,?,
Collioure,LOC,1,?,
compagnie de M. des Essarts,ORG,1,?,
Compagnie de Tréville,ORG,1,?,
compagnie des Essarts,ORG,3,?,
Comte de Wardes,PER,2,Comte de Wardes,
comte de Wardes,PER,2,Comte de Wardes,
comtesse de La Fère,PER,1,Anne de Breuil,
Constance,PER,13,Constance Bonacieux,
Constance Bonacieux,PER,2,Constance Bonacieux,
Cordoue,LOC,1,?,
Crésus,PER,1,Crésus,
Crèvecoeur,LOC,5,?,
d ' Artagnan,PER,1390,"Charles de Batz de Castelmore, dit d'Artagnan",
D ' Artagnan,PER,369,"Charles de Batz de Castelmore, dit d'Artagnan",
Dalila,PER,1,Dalila,
Dammartin,LOC,1,?,
Danemarck,LOC,1,?,
Dax,LOC,1,?,
de Bassompierre,PER,3,François de Bassompierre,
de Bois-Tracy,PER,1,Camille de Bois-Tracy,
de Jussac,PER,1,Claude de Jussac,
de Luynes,PER,1,"Honoré d'Albert, duc de Luynes",
De Wardes,PER,3,Comte de Wardes,
de Wardes,PER,20,Comte de Wardes,
